id,name,org_id,owner_level,owner_id
59897b78-33d6-4689-9da4-4966d19a0ccd,Agent Code Reviewer,,organization,""
21cd6247-e588-4378-b021-533b319f743a,Agent Lint Policy,,organization,""
fe149151-56fc-4564-9139-6406740003df,Agent Planner,,organization,""
d7fc2aff-60a4-407d-802e-3dbf7b799292,Agent Security Reviewer,,organization,""
01b31dbd-5561-407e-a4f0-1c28fc98c160,Apollo Prospecting Agent,,organization,""
8839eb36-376f-4cac-8ead-d307a9b4e415,Author Agent,,organization,""
8742afe6-2b3f-43ae-88c3-8f5f7a767729,Blog Draft Writer Agent,,organization,""
8bfe66b4-60ad-4fcb-904d-7916f08153b8,Blog Idea Generator Agent,,organization,""
115ca0e3-45b9-455e-b9cd-76d7c63679aa,Blog Image Prompt Agent,,organization,""
25173fd3-eb70-47bb-a503-7ecc099ec3ea,Blog LinkedIn Publish Agent,,organization,""
dbb42b95-16b2-48c8-893c-488243da0e0e,Blog LinkedIn Writer Agent,,organization,""
06f61858-c8b6-4c5e-8a33-92fcc191ee60,Blog Pipeline Agent,,organization,""
13be1cac-1e63-4ca3-a4e5-b521674527eb,Blog WordPress Publish Agent,,organization,""
agt_builtin_cinatra_assistant,Cinatra,,organization,""
4808c93d-aaf9-488e-b59c-f37514ea91d4,Company Discovery Agent,,organization,""
520cd2dd-d11f-443c-815b-0f47902433f7,Contact Discovery Agent,,organization,""
79d5debd-ef7b-4d19-97cc-dd9341a32848,Context Agent,,organization,""
agt_builtin_drupal_assistant,Drupal,,organization,""
61d51d02-6dc1-4da3-9d3a-587884308198,Drupal Agent,,organization,""
1aa8d165-9b3c-46d1-9d53-a7abdac985da,Email Delivery Agent,,organization,""
4b99641e-fc69-4654-85d9-faa7f4934cb6,Email Drafting Agent,,organization,""
a2422ae9-41fb-45d6-a6c8-92aa0301ba09,Email Follow-up Agent,,organization,""
75dba3c2-d136-45d9-974e-3e66cecbc339,Email Outreach Agent,,organization,""
50c00907-fe24-4408-86de-7374e4b6cc42,Email Recipient Selection Agent,,organization,""
1b329510-002f-4a6a-9b18-20d0bf97f68e,Email Test Delivery Agent,,organization,""
system:enrichment,Enrichment Agent,,,
e6cbc7d2-0bc3-4fa3-903a-0185fbb83ad0,List Curator Agent,,organization,""
c90d927d-b67b-465c-9ecc-fe122cae1c15,Media Feed Lister Agent,,organization,""
47598024-c46f-4cdf-b303-9225c8d817ee,Media Transcript Agent,,organization,""
system:research,Research Agent,,,
system:scrape,Scrape Agent,,,
59ee83cc-6b87-42a3-b894-7ff958270ed2,Web Research Agent,,organization,""
9954e098-1c13-4fe8-a4f1-727deafe2e2d,Web Scrape Agent,,organization,""
agt_builtin_wordpress_assistant,WordPress,,organization,""
0def3690-6546-405c-b192-75b6d5b21e54,WordPress Agent,,organization,""
